DATA_DIAGNOSTICO,CASOS,ÓBITO COVID-19,IDADE_MEDIA,CASOS_ACUMULADOS,POPULAÇÃO SUSCETÍVEL,ÓBITOS ACUMULADOS,MORTALIDADE / 100k,LETALIDADE_ACUMULADA %,LETALIDADE %,INFECTADOS,RECUPERADOS
2022-05-02,75,1,43.13333333333333,75759,256574,1223,476.6656013469798,1.6143296506025688,1.3333333333333335,252.0,76728.0
2022-05-09,115,0,42.25217391304348,75874,256459,1223,476.8793452364705,1.6118828584231752,0.0,300.0,76795.0
2022-05-16,212,0,42.58018867924528,76086,256247,1223,477.273880279574,1.607391635780564,0.0,401.0,76907.0
2022-05-23,254,2,43.51968503937008,76340,255993,1225,478.5287097694078,1.6046633481791983,0.7874015748031495,579.0,76984.0
2022-05-30,520,4,42.55769230769231,76860,255473,1229,481.06844950347005,1.5990111891751237,0.7692307692307693,980.0,77103.0
2022-06-06,445,6,43.21797752808989,77305,255028,1235,484.2605517825493,1.5975680745100573,1.348314606741573,1207.0,77321.0
2022-06-13,482,4,41.37551867219917,77787,254546,1239,486.74895696652084,1.59281113810791,0.8298755186721992,1433.0,77579.0
2022-06-20,456,4,41.10745614035088,78243,254090,1243,489.19674131213344,1.5886405173625755,0.8771929824561403,1369.0,78103.0
2022-06-27,516,5,42.286821705426355,78759,253574,1248,492.1640231253993,1.584580809812212,0.9689922480620154,1441.0,78553.0
2022-07-04,439,3,41.207289293849655,79198,253135,1251,494.2026981650108,1.5795853430642186,0.683371298405467,1399.0,79038.0
2022-07-11,393,3,41.35114503816794,79591,252742,1254,496.15813754738036,1.5755550250656483,0.7633587786259541,1337.0,79497.0
2022-07-18,460,4,44.108695652173914,80051,252282,1258,498.64833797100073,1.5714981699166783,0.8695652173913043,1282.0,80017.0
2022-07-25,331,3,43.80664652567976,80382,251951,1261,500.4941437025454,1.5687591749396632,0.906344410876133,1174.0,80459.0
2022-08-01,301,2,43.90033222591362,80683,251650,1263,501.8875422213392,1.5653855211134937,0.6644518272425249,1083.0,80854.0
2022-08-08,393,3,39.776081424936386,81076,251257,1266,503.8665589416415,1.5614978538655089,0.7633587786259541,1017.0,81317.0
2022-08-15,315,2,37.939682539682536,81391,250942,1268,505.29604450430776,1.5579118084309076,0.6349206349206349,1002.0,81650.0
2022-08-22,187,1,42.336898395721924,81578,250755,1269,506.07166357600045,1.5555664517394394,0.53475935828877,889.0,81952.0
2022-08-29,180,1,42.205555555555556,81758,250575,1270,506.8342811533473,1.5533648083367988,0.5555555555555556,678.0,82346.0
2022-09-05,105,0,42.19047619047619,81863,250470,1270,507.0467521060406,1.551372414888289,0.0,470.0,82661.0
2022-09-12,28,0,39.75,81891,250442,1270,507.10344111610675,1.5508419728663712,0.0,312.0,82848.0
2022-09-19,22,0,43.36363636363637,81913,250420,1270,507.1479913744908,1.5504254513935518,0.0,155.0,83028.0
2022-09-26,20,1,44.1,81933,250400,1271,507.5878594249201,1.5512674990541053,5.0,69.0,83134.0
2022-10-03,12,0,53.666666666666664,81945,250388,1271,507.6121858875026,1.551040331929953,0.0,53.0,83162.0
2022-10-10,7,0,40.0,81952,250381,1271,507.62637740084114,1.550907848496681,0.0,38.0,83184.0
2022-10-17,6,0,47.333333333333336,81958,250375,1271,507.6385421867199,1.550794309280363,0.0,25.0,83204.0
2022-10-24,4,0,58.75,81962,250371,1271,507.6466523678861,1.5507186257045948,0.0,17.0,83216.0
2022-10-31,4,0,32.75,81966,250367,1271,507.6547628081976,1.5506429495156528,0.0,14.0,83223.0
2022-11-07,14,0,44.42857142857143,81980,250353,1271,507.68315139023696,1.5503781410100024,0.0,22.0,83229.0
2022-11-14,38,0,39.44736842105263,82018,250315,1271,507.7602221201286,1.5496598307688556,0.0,56.0,83233.0
2022-11-21,178,0,38.96629213483146,82196,250137,1271,508.1215493909338,1.546303956396905,0.0,230.0,83237.0
2022-11-28,443,0,39.395033860045146,82639,249694,1271,509.02304420610824,1.5380147388037124,0.0,659.0,83251.0
2022-12-05,698,3,40.267908309455585,83337,248996,1274,511.65480569969,1.5287327357596265,0.42979942693409745,1316.0,83292.0
2022-12-12,728,3,42.14010989010989,84065,248268,1277,514.3635104000515,1.5190626301076549,0.4120879120879121,1863.0,83473.0
2022-12-19,737,4,40.86024423337856,84802,247531,1281,517.5109380239243,1.510577580717436,0.5427408412483039,2153.0,83920.0
2022-12-26,453,1,43.57395143487859,85255,247078,1282,518.8644881373493,1.50372412175239,0.22075055187637968,1910.0,84619.0
2023-01-02,305,1,46.24262295081967,85560,246773,1283,519.9110113343032,1.4995324918186068,0.32786885245901637,1489.0,85348.0
2023-01-09,176,2,47.59090909090909,85736,246597,1285,521.0931195432223,1.498786973966595,1.1363636363636365,930.0,86087.0
2023-01-16,104,2,44.22115384615385,85840,246493,1287,522.124360529508,1.499301025163094,1.9230769230769231,580.0,86542.0
2023-01-23,45,0,44.84444444444444,85885,246448,1287,522.2196974615334,1.4985154567153751,0.0,321.0,86847.0
2023-01-30,47,0,42.95744680851064,85932,246401,1287,522.319308769039,1.497695852534562,0.0,194.0,87023.0
2023-02-06,48,0,38.208333333333336,85980,246353,1287,522.4210786960175,1.4968597348220516,0.0,140.0,87127.0
2023-02-13,55,1,35.58181818181818,86035,246298,1288,522.9437510657821,1.4970651479049224,1.8181818181818181,149.0,87173.0
2023-02-20,66,0,35.06060606060606,86101,246232,1288,523.0839208551284,1.4959175851616124,0.0,168.0,87220.0
2023-02-27,65,1,38.04615384615385,86166,246167,1289,523.6282686143959,1.4959496785274935,1.5384615384615385,184.0,87269.0
2023-03-06,85,2,42.1764705882353,86251,246082,1291,524.6218740094765,1.4967942400667817,2.3529411764705883,213.0,87326.0
2023-03-13,79,0,42.63291139240506,86330,246003,1291,524.7903480851859,1.4954245337657825,0.0,226.0,87392.0
2023-03-20,102,0,44.3235294117647,86432,245901,1291,525.0080316875491,1.493659755646057,0.0,264.0,87457.0
2023-03-27,71,1,43.42253521126761,86503,245830,1292,525.5664483586218,1.4935898176941842,1.4084507042253522,251.0,87543.0
2023-04-03,53,1,40.509433962264154,86556,245777,1293,526.0866557895979,1.4938305836683765,1.8867924528301887,224.0,87623.0
2023-04-10,44,1,42.72727272727273,86600,245733,1294,526.5878005803046,1.4942263279445727,2.272727272727273,165.0,87726.0
2023-04-17,36,0,42.80555555555556,86636,245697,1294,526.6649572440851,1.4936054296135557,0.0,131.0,87797.0
2023-04-24,25,0,43.2,86661,245672,1294,526.7185515646879,1.49317455372082,0.0,104.0,87850.0
2023-05-01,34,0,42.94117647058823,86695,245638,1294,526.7914573478045,1.4925889613011132,0.0,95.0,87894.0
2023-05-08,35,0,34.51428571428571,86730,245603,1294,526.8665285033163,1.4919866251585379,0.0,94.0,87930.0
2023-05-15,26,0,47.03846153846154,86756,245577,1294,526.9223094996681,1.4915394900640877,0.0,95.0,87955.0
2023-05-22,23,0,50.26086956521739,86779,245554,1294,526.9716640738901,1.4911441708247386,0.0,84.0,87989.0
2023-05-29,26,1,38.61538461538461,86805,245528,1295,527.4347528591444,1.491849547837106,3.8461538461538463,74.0,88025.0
2023-06-05,8,0,42.75,86813,245520,1295,527.4519387422613,1.4917120707728106,0.0,56.0,88051.0
2023-06-12,13,0,42.76923076923077,86826,245507,1295,527.479868191131,1.491488724575588,0.0,46.0,88074.0
2023-06-19,1,0,32.0,86827,245506,1295,527.4820167327887,1.4914715468690614,0.0,22.0,88100.0
2023-06-26,8,1,35.375,86835,245498,1296,527.9065409901506,1.4924857488339955,12.5,21.0,88109.0
2023-07-03,4,0,33.0,86839,245494,1296,527.9151425289417,1.4924170015776321,0.0,12.0,88122.0
2023-07-10,5,0,32.6,86844,245489,1296,527.9258948466123,1.4923310764128783,0.0,16.0,88123.0
2023-07-17,3,0,34.333333333333336,86847,245486,1296,527.9323464474552,1.4922795260630763,0.0,12.0,88131.0
2023-07-24,1,0,1.0,86848,245485,1296,527.934497016111,1.492262343404569,0.0,9.0,88135.0
2023-07-31,7,0,57.42857142857143,86855,245478,1296,527.9495514873023,1.4921420758735824,0.0,11.0,88140.0
2023-08-07,3,0,41.666666666666664,86858,245475,1296,527.9560036663611,1.4920905385802115,0.0,11.0,88143.0
2023-08-14,6,0,37.166666666666664,86864,245469,1296,527.9689084976106,1.4919874746730521,0.0,16.0,88144.0
2023-08-21,3,0,48.0,86867,245466,1296,527.975361149813,1.4919359480585264,0.0,12.0,88151.0
2023-08-28,8,0,36.625,86875,245458,1296,527.9925689934734,1.4917985611510791,0.0,17.0,88154.0
2023-09-04,20,0,39.8,86895,245438,1296,528.0355935103773,1.4914552045572242,0.0,31.0,88160.0
2023-09-11,12,1,51.0,86907,245426,1297,528.4688663792753,1.4923999217554396,8.333333333333332,39.0,88164.0
2023-09-18,43,2,44.86046511627907,86950,245383,1299,529.3765256761878,1.4939620471535364,4.651162790697675,72.0,88174.0
2023-09-25,39,0,40.48717948717949,86989,245344,1299,529.460675622799,1.4932922553426295,0.0,91.0,88194.0
2023-10-02,63,0,41.507936507936506,87052,245281,1299,529.5966666802566,1.4922115517162156,0.0,143.0,88206.0
2023-10-09,79,1,43.31645569620253,87131,245202,1300,530.1751209207102,1.4920062893803583,1.2658227848101267,180.0,88250.0
2023-10-16,80,2,41.55,87211,245122,1302,531.1640734001844,1.492930937611081,2.5,219.0,88291.0
2023-10-23,144,0,45.02777777777778,87355,244978,1302,531.476295830646,1.4904699215843398,0.0,300.0,88354.0
2023-10-30,143,0,39.76223776223776,87498,244835,1302,531.7867135009292,1.4880340122059932,0.0,365.0,88433.0
2023-11-06,85,0,39.705882352941174,87583,244750,1302,531.9713993871297,1.4865898633296415,0.0,372.0,88513.0
2023-11-13,110,0,36.836363636363636,87693,244640,1302,532.2105951602355,1.4847251205911531,0.0,338.0,88657.0
2023-11-20,28,0,39.25,87721,244612,1302,532.2715157065066,1.4842512055266126,0.0,223.0,88800.0
